Date,PredictedCustomerCount
2025-12-02,217.0
2025-12-03,217.0
2025-12-04,217.0
2025-12-05,217.0
2025-12-06,217.0
2025-12-07,217.0
2025-12-08,217.0
2025-12-09,217.0
2025-12-10,217.0
2025-12-11,217.0
2025-12-12,217.0
2025-12-13,217.0
2025-12-14,217.0
2025-12-15,217.0
2025-12-16,217.0
2025-12-17,217.0
2025-12-18,217.0
2025-12-19,217.0
2025-12-20,217.0
2025-12-21,217.0
2025-12-22,217.0
2025-12-23,217.0
2025-12-24,217.0
2025-12-25,217.0
2025-12-26,217.0
2025-12-27,217.0
2025-12-28,217.0
2025-12-29,217.0
2025-12-30,217.0
2025-12-31,217.0
